               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12831,            0.084243,            0.047116,                   0,                   0,                   0,                   0,             0.12495,            0.067365,            0.046336,              0.0919,              0.0009,              0.0009
                   1,             0.12009,            0.091416,            0.045712,           0.0078492,            0.070257,           0.0060438,           0.0011241,             0.11348,            0.072855,            0.043217,            0.082806,           0.0018059,           0.0018059
                   2,             0.11328,            0.088317,            0.044569,            0.041375,            0.050956,             0.01885,           0.0059144,             0.10593,            0.061448,            0.042569,            0.073613,           0.0026129,           0.0026129
                   3,             0.10647,            0.088249,            0.040438,             0.35699,            0.082274,            0.043077,            0.010652,             0.10045,            0.061421,            0.039839,            0.064321,           0.0033208,           0.0033208
                   4,            0.093843,            0.084214,            0.039031,              0.3696,             0.23111,            0.079941,            0.024122,            0.097697,             0.08333,            0.038878,             0.05493,           0.0039298,           0.0039298
                   5,            0.089327,            0.089739,            0.037093,             0.37148,             0.16958,            0.085365,            0.026996,            0.095464,            0.070427,            0.036069,             0.04544,           0.0044398,           0.0044398
                   6,            0.085388,            0.087845,             0.03731,            0.042723,             0.26751,            0.030125,           0.0073526,            0.097284,            0.062788,            0.034895,            0.035851,           0.0048507,           0.0048507
                   7,            0.080952,            0.085694,            0.035638,            0.036917,              0.4744,            0.046056,            0.013303,            0.092246,            0.063094,            0.033748,            0.026163,           0.0051627,           0.0051627
                   8,            0.079143,            0.081159,            0.036403,              0.3077,              0.2731,             0.10551,            0.029002,            0.081882,             0.05473,            0.033179,            0.016376,           0.0053756,           0.0053756
                   9,            0.074773,             0.08598,            0.033976,             0.34822,             0.38191,             0.14496,            0.049436,            0.073029,             0.04953,            0.032487,           0.0064895,           0.0054896,           0.0054896
                  10,            0.071281,            0.080126,            0.034944,             0.37058,             0.38742,             0.18618,            0.060374,            0.069998,            0.049727,            0.031997,             0.00505,             0.00505,             0.00505
                  11,            0.069687,            0.079549,            0.034424,             0.36738,             0.37456,             0.17669,            0.058823,            0.079419,            0.047633,            0.031785,             0.00505,             0.00505,             0.00505
                  12,            0.067455,            0.081566,            0.034354,             0.38082,             0.41857,             0.20415,            0.082553,            0.069083,             0.04767,            0.031377,            0.004555,            0.004555,            0.004555
                  13,            0.063319,            0.082863,            0.033451,             0.39781,             0.40956,             0.21386,            0.083321,            0.059368,            0.047865,            0.030536,             0.00406,             0.00406,             0.00406
                  14,            0.058298,            0.078235,            0.031717,             0.44641,             0.47721,             0.28054,             0.10372,             0.05615,            0.046298,            0.029985,            0.003565,            0.003565,            0.003565
                  15,             0.05456,            0.081896,            0.033287,             0.50525,             0.44768,             0.31766,             0.13023,            0.056162,            0.045703,            0.029521,             0.00307,             0.00307,             0.00307
                  16,            0.052799,            0.080683,            0.031375,             0.49583,             0.46653,              0.3425,             0.13722,            0.057185,            0.045988,            0.029633,            0.002575,            0.002575,            0.002575
                  17,            0.050619,            0.075939,            0.031744,             0.55649,             0.51281,             0.40718,             0.19027,            0.047679,             0.04552,            0.029305,             0.00208,             0.00208,             0.00208
                  18,             0.04895,            0.077242,            0.031792,             0.56517,             0.52582,             0.42388,             0.19626,            0.047986,            0.045518,            0.029286,            0.001585,            0.001585,            0.001585
                  19,            0.047613,            0.078508,            0.031264,             0.62614,             0.57432,             0.49875,             0.24715,            0.043758,            0.044353,            0.028726,             0.00109,             0.00109,             0.00109
